year,quarter,GNP,RGNP72,GNPDEF,TRGNP,CPRATE,CORPYIELD,M1,M2,BASE,CSTOCK,WPRICE67,PRODURNO,PRODUR72,PRODURDF,NONRESNO,NONRES72,NONRESDF,IRESNOM,IRES72,IRESDEF,DBUSINOM,DBUSI72,CDURNOM,CDUR72,CDURDEF,CNDURNOM,CNDUR72,CNDURDEF,XPTNOM,XPT72,XPTDEF,MPTNOM,MPT72,MPTDEF,GOVPURNO,GOVPUR72,GOVPURDF,NCSPDE72,NCSBS72,NCSCON72,CCSPDE72,CCSBS72
1952,3,347.8,600.69,57.9,576,2.31,3.5,123.64,227.58,40.03,25.01,88.8,18,28.58,62.98,12.4,21.81,56.86,16.5,24.89,66.3,4.2,5.4,27.3,35.78,76.3,189.9,314.52,60.38,19.13,26.2,73,15.9,20.33,78.2,77.5,163.85,47.3,177.78,231.24,152.87,19.11,8.19
1952,4,360,614.33,58.6,582.4,2.31,3.54,124.72,230.46,40.5,25.11,87.7,20.3,31.79,63.86,12.8,22.63,56.57,17.2,25.98,66.2,5.4,7.2,31.4,40.46,77.6,193.6,318.36,60.81,19.18,26.6,72.1,17,21.85,77.8,78.3,163.13,48,179.64,233.41,155.1,19.05,7.89
1953,1,366.1,622.62,58.8,589,2.33,3.51,125.33,232.24,40.73,26.01,87.2,21.7,34.05,63.72,13.3,23.32,57.04,17.5,26.52,66,2.3,3.9,32.9,42.34,77.7,195.4,320.59,60.95,18.91,26.3,71.9,16.5,21.6,76.4,81.7,167.76,48.7,182,235.71,157.69,18.42,7.49
1953,2,369.4,628.23,58.8,595.6,2.62,3.65,126.05,234.44,40.93,24.5,87,21.7,33.68,64.42,13.7,23.71,57.77,17.6,26.63,66.1,3.1,5.1,32.8,41.94,78.2,197.1,322.67,61.08,19.16,26.8,71.5,17.1,22.65,75.5,82.6,170.31,48.5,184.18,238.09,160.04,18.71,7.62
1953,3,368.4,624.41,59,602.3,2.75,3.86,126.22,235.81,41.27,23.98,87.9,22.5,34.72,64.8,13.9,23.84,58.3,17.1,25.64,66.7,0.7,1.9,32.5,41.77,77.8,198,321.86,61.52,19.47,27,72.1,17,22.43,75.8,82.4,169.9,48.5,186.55,240.45,162.23,19.35,8.35
1953,4,363.1,618.57,58.7,609.1,2.37,3.82,126.37,237.32,41.17,24.43,87.4,21.8,33.89,64.32,14.1,24.23,58.18,16.9,25.45,66.4,-4.6,-5,31.9,42.53,75,198.1,320.27,61.85,18.96,26.3,72.1,16.3,21.59,75.5,83.4,171.96,48.5,188.63,242.88,164.5,20.26,9.37
1954,1,362.5,610.27,59.4,616,2.04,3.71,126.54,239.25,41.27,26.02,87.8,21,32.24,65.14,14,24.44,57.29,17,25.76,66,-2.5,-3.4,31.2,40.94,76.2,200.7,322.75,62.18,18.32,25.7,71.3,15.5,20.53,75.5,79.5,162.58,48.9,190.22,245.33,166.25,20.5,9.63
1954,2,362.3,607.89,59.6,618.3,1.63,3.47,127.18,241.44,41.27,28.44,87.8,20.8,31.45,66.13,14,24.67,56.75,18.3,27.64,66.2,-2.7,-4.1,31.8,41.35,76.9,202.4,324.69,62.34,20.31,28.4,71.5,16.9,21.81,77.5,75.4,155.79,48.4,191.57,247.79,168.01,20.93,9.85
1954,3,366.7,616.3,59.5,622.9,1.36,3.5,128.38,244.74,41.27,30.77,87.6,21.5,32.57,66.01,14.1,24.8,56.85,19.7,29.4,67,-2.2,-2.7,31.3,42.41,73.8,205.1,329.43,62.26,19.78,27.9,70.9,16,20.67,77.4,74.6,153.81,48.5,193.14,250.26,169.95,20.95,9.9
1954,4,375.6,628.09,59.8,627.5,1.31,3.46,129.72,247.34,41.53,33.53,87.1,21.5,32.19,66.8,14.1,24.81,56.83,21,31.34,67,1.2,1.5,33,45.14,73.1,207.8,333.27,62.35,20.86,29.3,71.2,16.2,20.98,77.2,73.4,151.65,48.4,194.57,252.68,172.47,21.03,9.84
1955,1,388.2,643.78,60.3,632.2,1.61,3.45,131.07,250.09,41.53,36.3,87.5,21.5,32.43,66.29,14.5,25.44,57,22.8,33.83,67.4,4.7,5.9,36.2,48.07,75.3,210.6,337.09,62.48,21.51,30.3,71,16.9,22.01,76.8,74.3,152.88,48.6,196.01,255.23,175.6,21.05,10.02
1955,2,396.2,652.72,60.7,636.9,1.97,3.49,131.88,251.74,41.67,38.38,87.8,23.5,35.47,66.25,14.9,25.98,57.35,23.4,34.36,68.1,6.1,8,38.6,51.26,75.3,213.3,340.84,62.58,21.24,29.7,71.5,17.9,23.43,76.4,74.1,150.92,49.1,198.16,257.87,179.36,20.57,9.73
1955,3,404.8,663.61,61,641.7,2.33,3.52,132.4,252.97,41.7,43.15,88.1,25.4,37.68,67.41,15.5,26.67,58.12,23.1,33.62,68.7,6.1,7.8,40.3,52.68,76.5,215.7,343.65,62.77,22.46,31.2,72,18.3,23.95,76.4,75.4,153.56,49.1,200.79,260.65,183.27,20.56,9.61
1955,4,411,669.38,61.4,646.5,2.83,3.59,132.64,253.93,41.83,44.14,88.4,26.7,39.22,68.08,16.2,27.3,59.33,22,31.98,68.8,7.1,9.2,39.4,52.25,75.4,220.6,350.45,62.95,22.8,31.4,72.6,18.9,24.42,77.4,76.2,152.1,50.1,203.71,263.54,186.89,20.93,9.94
1956,1,412.8,666.88,61.9,651.3,3,3.6,133.11,254.62,42.07,45.36,89.2,25.9,37.39,69.27,17.5,28.3,61.83,21.3,30.6,69.6,6.1,7.5,37.6,49.28,76.3,223.7,353.75,63.24,24.29,33,73.6,19.8,25.35,78.1,77.2,151.97,50.8,206.08,266.64,189.57,21.47,10.62
1956,2,418.4,670.51,62.4,656.2,3.26,3.68,133.38,255.85,42.1,46.95,90.6,26.4,37.32,70.74,18.1,29.38,61.61,21.5,30.41,70.7,4.4,5.5,37.6,48.83,77,226.2,354.97,63.72,25.68,34.8,73.8,19.8,25.29,78.3,79.3,153.98,51.5,208.35,269.96,192,21.68,10.46
1956,3,423.5,671.16,63.1,661.6,3.35,3.8,133.48,256.95,42.13,48.04,91.1,27.3,37.81,72.21,18.8,29.75,63.19,21.1,29.76,70.9,4.1,4.9,37.3,48.07,77.6,229.5,356.58,64.36,26.75,36.2,73.9,20.1,25.74,78.1,79.7,152.98,52.1,210.66,273.32,194.11,21.72,10.47
1956,4,432.1,678.34,63.7,667,3.63,4.17,134.09,258.6,42.4,46.15,92,27.6,37.35,73.9,19,29.79,63.77,20.7,29.28,70.7,4.3,5.4,38.9,48.75,79.8,232.9,360.28,64.64,27.53,37.1,74.2,19.4,24.65,78.7,81.3,154.86,52.5,212.78,276.65,196.29,22.24,10.67
1957,1,440.2,683.54,64.4,672.6,3.63,4.49,134.29,260.8,42.47,44.31,92.7,28.7,38.09,75.34,19,29.48,64.45,20.1,28.43,70.7,2,2.5,40,49.94,80.1,236.1,361.88,65.24,30.06,39.4,76.3,21,26.32,79.8,86.2,160.22,53.8,215.01,279.84,198.65,22.5,10.6
1957,2,442.3,683.62,64.7,677,3.68,4.44,134.36,262.72,42.53,46.46,93,28.6,37.91,75.44,19.2,29.44,65.23,19.7,27.79,70.9,2.3,2.9,39.5,48.77,81,238.8,363.8,65.64,29.87,39.1,76.4,21.1,26.44,79.8,86.6,161.27,53.7,217.12,282.98,200.59,22.45,10.7
1957,3,449.4,688.21,65.3,684.2,3.95,4.73,134.26,264.5,42.53,46.11,93.8,29.7,39.25,75.67,19.2,29.33,65.47,19.6,27.49,71.3,3.3,3.7,39.1,47.98,81.5,243.7,366.96,66.41,29.07,37.7,77.1,20.6,25.81,79.8,87.5,161.44,54.2,219.49,286.04,202.24,22.68,11
1957,4,444,678.9,65.4,686.9,3.99,4.99,133.48,265.19,42.53,40.64,93.8,29.1,37.8,76.99,19.1,29.32,65.15,19.5,27.62,70.6,-2.3,-3,38.8,47.96,80.9,245.6,367.84,66.77,27.52,35.6,77.3,20.5,26.05,78.7,88.1,161.95,54.4,221.42,289.05,203.8,22.9,10.8
1958,1,436.8,665.85,65.6,691.1,2.82,4.83,133.72,267.93,42.7,41.5,94.6,25.8,33.89,76.13,18.4,28.87,63.74,19,26.91,70.6,-5.4,-6.8,36.8,45.15,81.5,247.2,365.86,67.57,25.15,33,76.2,20.4,26.36,77.4,91.2,165.22,55.2,222.3,291.91,204.58,22.52,10.47
1958,2,440.7,669.76,65.8,700.6,1.72,4.67,135.22,274.52,43.2,43.6,94.7,24.8,32.33,76.71,17.8,27.76,64.11,19,26.87,70.7,-5.1,-6.2,36,44.5,80.9,250.8,370.48,67.7,25.13,33.2,75.7,21,27.42,76.6,94.2,168.82,55.8,222.76,294.44,205.15,22.64,10.51
1958,3,453.9,685.65,66.2,711.3,2.13,4.53,136.64,279.33,43.37,47.55,94.5,24.6,31.83,77.29,17.3,26.94,64.21,20.4,28.81,70.8,0.2,0.3,36.7,45.09,81.4,255,375.92,67.83,25.07,33.2,75.5,20.7,27.17,76.2,96.1,171,56.2,223.09,296.74,205.84,22.61,10.43
1958,4,467,702.26,66.5,717.1,3.21,4.92,138.48,282.62,43.53,52.31,94.5,26.1,33.54,77.83,17.7,27.42,64.54,22.6,31.92,70.8,4,5.3,38,46.68,81.4,257.4,378.66,67.98,25.07,33.2,75.5,21.8,28.76,75.8,98.7,174.69,56.5,223.83,299.11,206.9,23.12,10.88
1959,1,477,711.94,67,716.1,3.3,4.87,140.35,286.6,43.7,55.51,94.8,27.6,35.29,78.2,17.5,27.21,64.31,25.1,35.6,70.5,4.3,5.5,41.2,49.4,83.4,262.2,384.62,68.17,24.17,32.1,75.3,22.4,29.79,75.2,97.8,171.58,57,224.98,301.4,208.58,22.97,10.71
1959,2,490.6,725.74,67.6,721,3.6,4.86,141.75,291,43.9,57.51,95.1,28.7,36.43,78.78,18.2,28.2,64.53,26,36.88,70.5,10.1,12.6,43,51.25,83.9,266.1,388.46,68.5,24.62,32.7,75.3,23.6,31.09,75.9,98,171.03,57.3,226.38,303.91,210.63,22.89,10.64
1959,3,489,721.24,67.8,723.7,4.19,5.08,142.23,294.9,44.07,58.73,94.8,29.6,37.51,78.9,18.7,29.03,64.42,25.5,36.12,70.6,1.4,1.4,43.9,52.14,84.2,270.3,390.99,69.13,26.66,35.4,75.3,24,31.79,75.5,97.5,170.16,57.3,228,306.58,212.8,23.07,10.84
1959,4,495,727.94,68,736,4.76,5.28,141.2,296.1,43.93,57.76,94.4,29.6,37.66,78.61,18.6,28.87,64.43,24.7,34.94,70.7,6.8,8.7,41.6,49.7,83.7,274.6,395.01,69.52,26.45,34.9,75.8,23.6,30.93,76.3,97,169.28,57.3,229.6,309.17,214.25,23.52,11.42
1960,1,506.9,741.08,68.4,740.8,4.69,5.34,140.83,297.2,43.87,56.28,94.9,30.6,38.64,79.19,19.6,30.29,64.71,25.4,35.88,70.8,10.4,12.7,43,51.07,84.2,276.8,397.15,69.7,28.5,37.3,76.4,23.9,31.12,76.8,97.3,169.22,57.5,231.39,312.08,215.97,23.84,11.78
1960,2,506.3,738.05,68.6,747.2,4.07,5.2,140.83,299.9,43.93,56.07,95,31.3,39.33,79.58,19,29.7,63.98,23.3,32.86,70.9,2.8,3.3,43.9,52.32,83.9,282,401.99,70.15,29.45,38.2,77.1,24,31.13,77.1,99.3,172.4,57.6,233.29,314.79,217.91,23.87,11.67
1960,3,508,737.3,68.9,752.1,3.37,5.22,142,305.3,44.03,55.72,94.7,30,37.56,79.88,19.2,30.13,63.72,22.4,31.5,71.1,2.6,3.4,43.4,51.79,83.8,282.6,400.91,70.49,30.3,38.9,77.9,23.4,30.47,76.8,101.8,174.32,58.4,234.69,317.57,219.62,23.93,11.68
1960,4,504.8,731.59,69,758.5,3.27,5.11,141.98,309.8,44.07,55.33,94.9,28.9,36.18,79.88,19.9,31.43,63.31,22.3,31.45,70.9,-4.2,-5.3,42.2,50.54,83.5,285.8,402.65,70.98,30.22,39.2,77.1,22.3,29.3,76.1,102.7,175.56,58.5,235.69,320.64,220.93,23.92,11.67
1961,1,508.2,737.59,68.9,767.9,3.01,5.1,142.85,314.8,44.7,62,95.2,27.9,35.05,79.59,20,31.58,63.34,22.2,31.31,70.9,-3.2,-4.1,39.7,47.72,83.2,288.9,406.47,71.08,30.8,39.9,77.2,22.3,29.3,76.1,105,179.49,58.5,236.38,323.69,221.46,23.8,11.68
1961,2,519.2,750.29,69.2,775,2.86,5.01,143.88,320.7,44.67,65.98,94.3,29.2,36.65,79.67,19.6,30.91,63.41,22.5,31.73,70.9,1.6,1.8,40.7,48.34,84.2,292.3,411.63,71.01,29.64,37.8,78.4,22.5,29.53,76.2,106.8,181.02,59,237.44,326.54,222.13,23.78,11.73
1961,3,528.2,760,69.5,781.7,2.9,5.09,144.9,326.2,45.13,66.83,94.3,29.4,37,79.47,19.6,30.88,63.47,23.9,33.71,70.9,5.1,6.5,41.9,49.41,84.8,293.8,412.02,71.31,30.77,39.4,78.1,24,31.54,76.1,108.4,182.8,59.3,238.55,329.33,223.02,23.66,11.76
1961,4,542.6,778.48,69.7,789.2,3.06,5.13,146.18,331.8,45.8,70.27,94.4,31.1,39.19,79.35,20,31.34,63.83,24.4,34.41,70.9,5.8,7.7,44,51.83,84.9,298.8,418.48,71.4,31.51,40.3,78.2,24.5,32.24,76,112.3,188.42,59.6,240.17,332.19,224.48,23.51,11.86
1962,1,554.2,789.46,70.2,797.7,3.24,5.08,147.18,338.9,46.1,69.86,94.9,31.9,40.11,79.54,19.9,31.28,63.61,24.9,34.97,71.2,8.2,10.4,45,52.88,85.1,302.5,421.6,71.75,31.08,40,77.7,24.8,33.16,74.8,116.1,191.27,60.7,242.25,335,226.12,21.34,10.7
1962,2,562.7,798.16,70.5,805.6,3.2,5.02,147.95,345.9,46.57,62.22,94.4,32.7,41.12,79.52,20.7,32.44,63.8,26.1,36.66,71.2,6.4,8.1,46.3,54.22,85.4,306.7,425.44,72.09,32.93,42.6,77.3,25.4,33.96,74.8,116.8,191.79,60.9,243.54,338.06,228.01,21.51,10.75
1962,3,568.9,805.81,70.6,810,3.33,5.05,147.9,351.3,46.9,57.83,94.9,32.9,41.25,79.75,21.5,33.69,63.82,26.2,36.85,71.1,5.8,7.5,46.8,54.67,85.6,310.2,428.82,72.34,32.84,42.6,77.1,25.6,34.45,74.3,118.8,194.75,61,244.82,341.38,229.92,21.94,11.03
1962,4,574.3,807.74,71.1,813.3,3.26,4.99,148.93,358.4,47.4,59.62,94.8,32.9,41.15,79.95,21.1,32.96,64.02,26.1,36.71,71.1,4.4,5.3,48.8,57.08,85.5,314.6,433.13,72.63,32.49,42.2,77,26,35.04,74.2,120.4,194.82,61.8,246.02,344.47,232.33,21.85,11.01
1963,1,582,815.13,71.4,821,3.31,4.91,150.45,366.3,47.93,65.55,94.4,33.5,41.86,80.04,20.3,31.61,64.23,27,37.87,71.3,5.6,7.4,49.8,58.11,85.7,317.3,434.77,72.98,32.35,41.9,77.2,25.6,34.32,74.6,122.1,195.67,62.4,247.35,347.17,234.88,21.2,10.64
1963,2,590.7,826.15,71.5,828.2,3.32,4.87,151.93,374.2,48.5,69.67,94.3,34.1,42.72,79.83,21.2,32.97,64.3,28.9,40.82,70.8,6.2,7.9,51.1,59.35,86.1,320,437.91,73.07,34.72,44.8,77.5,26.4,35.11,75.2,121.3,195.02,62.2,248.85,350.17,237.6,21.13,10.67
1963,3,601.8,839.33,71.7,839.8,3.7,4.84,153.38,381.9,49.17,70.97,94.6,35.5,44.47,79.82,21.2,33.06,64.13,29.2,41.83,69.8,6.4,8,51.9,60.14,86.3,326,443.74,73.47,35.08,45.2,77.6,27.2,35.79,76,124.3,199.2,62.4,250.74,353.15,240.38,21.21,10.69
1963,4,612.4,848.2,72.2,847.6,3.91,4.83,154.8,389.3,49.87,73.27,94.7,36.8,46.05,79.91,21.8,33.76,64.57,30.3,43.1,70.3,5.6,6.7,52.9,61.02,86.7,329.2,446.64,73.71,36.7,47.3,77.6,27.3,35.78,76.3,127,200,63.5,252.94,356.27,243.24,21.23,10.73
1964,1,625.3,863.67,72.4,857.4,3.95,4.83,155.85,395.8,50.57,77.55,94.8,37.8,47.19,80.1,22,34.02,64.67,30.4,43.74,69.5,5.4,6.9,55,63.15,87.1,335.6,453.45,74.01,38.85,50,77.7,27.6,35.84,77,128.3,201.73,63.6,255.35,359.39,246.48,22.14,10.56
1964,2,634,873.28,72.6,864.7,3.93,4.85,157.2,402.5,51.17,80.3,94.4,38.6,48.02,80.39,22.8,35.16,64.85,29.5,41.84,70.5,5.8,7.4,56.4,64.75,87.1,341.4,460.65,74.11,38.38,49.2,78,28.4,36.74,77.3,130,203.44,63.9,257.88,362.76,249.95,21.72,10.29
1964,3,642.8,880.55,73,869,3.91,4.83,159.75,411.7,52,82.88,94.7,39.8,49.45,80.48,23.4,35.86,65.25,29,40.56,71.5,4.6,5.5,58.2,66.74,87.2,347.6,467.42,74.37,39.72,50.6,78.5,29.1,37.74,77.1,130,202.18,64.3,260.68,366.25,253.75,21.77,10.37
1964,4,648.8,886.34,73.2,871.7,4.06,4.53,161.63,420.2,52.73,84.75,94.9,40.9,51.01,80.17,23.9,36.51,65.46,28.7,39.97,71.8,6.7,8.6,56.1,64.56,86.9,351.5,470.82,74.66,40.55,51.4,78.9,30,38.86,77.2,130.9,202.95,64.5,263.76,369.85,256.8,21.26,10
1965,1,668.8,906.23,73.8,880.8,4.3,4.8,162.9,428.5,53.4,86.57,95.4,44.2,54.85,80.58,25.5,38.77,65.78,29.5,41.03,71.9,12.3,14.8,61.6,70.48,87.4,356.3,475.65,74.91,37.59,46.7,80.5,29.1,37.5,77.6,131.6,202.15,65.1,267.68,373.96,261.18,21.31,10.14
1965,2,681.7,919.97,74.1,888.6,4.38,4.8,163.9,435.7,54.03,87.43,96.3,45,55.72,80.76,27.2,41.22,65.98,30.1,42.33,71.1,9.5,11.3,61.5,70.69,87,362.9,480.31,75.56,43.2,53.6,80.6,32.7,42.19,77.5,135.6,207.34,65.4,271.68,378.63,265.38,21.3,10.11
1965,3,696.4,933.51,74.6,901.8,4.38,4.88,166.05,444.1,54.77,86.93,97,47.5,58.83,80.74,28,41.9,66.83,29.6,40.88,72.4,9.1,11,63.3,73.09,86.6,369.6,486.27,76.01,42.85,53.1,80.7,33,42.25,78.1,140.1,211.63,66.2,276.3,383.39,269.97,21.01,10.17
1965,4,717.2,956.27,75,910.7,4.47,4.93,169.1,454,55.83,91.76,97.6,49.2,60.79,80.93,29.7,44.14,67.29,29.3,40.41,72.5,8.5,10,65.6,76.1,86.2,380.8,497.98,76.47,43.04,53.6,80.3,34.4,43.65,78.8,146.1,217.74,67.1,281.25,388.64,275.07,21.1,10.21
1966,1,738.5,975.56,75.7,923,4.97,5.06,171.95,462.5,56.63,91.63,99.1,51.8,63.7,81.32,30.5,44.84,68.01,29.4,40.5,72.6,13.1,15.6,68.7,79.79,86.1,387.5,501.49,77.27,43.93,54.1,81.2,36,45.69,78.8,150,221.24,67.8,286.74,393.98,280.83,21.58,10.63
1966,2,750,979.11,76.6,931,5.43,5.41,172.98,468.3,57.47,88.15,99.5,53.7,65.56,81.9,30.3,43.74,69.28,28.8,38.45,74.9,14.6,17.1,66,76.3,86.5,394.5,505.65,78.02,44.33,53.8,82.4,37,46.42,79.7,155.3,224.75,69.1,292.49,398.97,285.42,21.73,10.96
1966,3,760.6,987.79,77,940.1,5.79,5.68,172.8,471.3,58.13,81.43,100.6,54.1,65.65,82.4,31.4,45.05,69.7,26.8,36.07,74.3,11.2,13.6,68.5,78.83,86.9,400.9,509.95,78.62,45.54,54.6,83.4,39.4,49.31,79.9,162,233.77,69.3,298.05,404.21,290.41,21.81,10.97
1966,4,774.9,996.01,77.8,951.8,6,6.1,173.33,476.2,58.47,79.82,99.9,55.2,66.35,83.19,30.8,43.73,70.43,23.6,31.22,75.6,17.5,20.8,68.8,78.72,87.4,405.4,511.55,79.25,46.45,55.1,84.3,39.8,49.44,80.5,167.3,238.66,70.1,303.57,409.05,295.11,22.03,11.31
1967,1,780.7,997.06,78.3,963.7,5.45,5.97,175.25,484,59.33,87.08,99.9,53.3,63.69,83.68,31.2,43.87,71.12,23.3,30.54,76.3,12.4,14.5,67.3,77.27,87.1,411.5,517.63,79.5,47.8,56.9,84,40.6,50.5,80.4,174.9,244.27,71.6,308.23,413.84,299.2,22.02,11.21
1967,2,788.6,1004.59,78.5,971.4,4.72,5.83,178.1,495.5,60.2,91.66,90.7,54.3,64.58,84.08,30.5,42.43,71.89,26.3,34.47,76.3,6,7.3,70.6,80.69,87.5,416.9,521.83,79.89,47.01,56.1,83.8,40.1,50.13,80,177.5,246.94,71.88,312.94,418.2,303.94,21.85,11.05
1967,3,805.7,1016.02,79.3,985,4.97,6.26,181.93,509.5,61.17,94.44,100.1,53.9,63.73,84.58,31,42.71,72.59,28.4,36.84,77.1,10.2,11.8,70.8,80,88.5,423.2,525.18,80.58,47.29,56.3,84,40.6,50.56,80.3,182,250.69,72.6,317.26,422.57,308.27,22.22,11.6
1967,4,823.3,1027.84,80.1,991.2,5.3,6.52,184.73,520.3,62.23,94.54,100.3,56,65.74,85.19,31.2,42.45,73.49,30.5,39.51,77.2,12.9,15.2,71.6,80,89.5,429.2,528.05,81.28,48.27,57.4,84.1,42.8,53.7,79.7,186.5,252.37,73.9,321.92,426.81,312.37,22.35,11.85
1968,1,841.2,1036.22,81.18,997.2,5.58,6.84,187.15,529.3,63.27,91.63,101.7,58.2,67.69,85.98,32.7,43.78,74.68,31.5,40.08,78.6,4.7,5.4,76.8,85.24,90.1,441,535.59,82.34,49.44,59,83.8,45.7,56.98,80.2,192.4,256.53,75,326.89,431.31,317.57,22.12,11.99
1968,2,867.2,1056.02,82.12,1010.1,6.08,6.97,190.63,538.1,64.1,98.02,102.3,57.3,65.95,86.88,32.6,43.08,75.68,33,41.35,79.8,10.7,12.2,78.7,86.87,90.6,451.4,542.97,83.14,51.63,60.1,85.9,46.9,57.76,81.2,198.6,260.97,76.1,331.25,435.57,322.91,22.33,12.19
1968,3,884.9,1068.72,82.8,1018.7,5.96,6.98,194.3,549,65.17,99.92,102.7,59.1,67.32,87.79,32.7,42.92,76.18,33.5,41.56,80.6,8.5,9.8,83,90.81,91.4,462.6,551.46,83.89,54.57,63.6,85.8,49.9,61.68,80.9,201,262.4,76.6,335.79,439.73,328.96,21.95,11.86
